Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1985;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1985;Nacimientos de mujeres residentes;Otros;;;27377;Número;
1985;Total defunciones de residentes;Otros;;;31598;Número;
1985;Nacimientos de hombres residentes;Otros;;;29513;Número;
1985;Total esposas de matrimonios de distinto sexo residentes;Otros;;;23863;Número;
1985;Defunciones de residentes hombres;Otros;;;16518;Número;
1985;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;23183;Número;
1985;Total nacimientos de residentes;Otros;;;56890;Número;
1985;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1985;Total esposos de matrimonios de distinto sexo residentes;Otros;;;24052;Número;
1985;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1985;Defunciones de residentes mujeres;Otros;;;15080;Número;
1985;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;22650;Número;
1985;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;41891;Número;
1986;Nacimientos de mujeres residentes;Otros;;;26598;Número;
1986;Total esposas de matrimonios de distinto sexo residentes;Otros;;;25572;Número;
1986;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24026;Número;
1986;Total esposos de matrimonios de distinto sexo residentes;Otros;;;25550;Número;
1986;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;25996;Número;
1986;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;24825;Número;
1986;Nacimientos de hombres residentes;Otros;;;27942;Número;
1986;Total nacimientos de residentes;Otros;;;54540;Número;
1986;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1986;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1986;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1986;Defunciones de residentes mujeres;Otros;;;14584;Número;
1986;Defunciones de residentes hombres;Otros;;;15960;Número;
1986;Total defunciones de residentes;Otros;;;30544;Número;
1987;Nacimientos de hombres residentes;Otros;;;27554;Número;
1987;Defunciones de residentes mujeres;Otros;;;14874;Número;
1987;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;26725;Número;
1987;Total nacimientos de residentes;Otros;;;53354;Número;
1987;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1987;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25372;Número;
1987;Nacimientos de mujeres residentes;Otros;;;25800;Número;
1987;Defunciones de residentes hombres;Otros;;;16608;Número;
1987;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1987;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24602;Número;
1987;Total defunciones de residentes;Otros;;;31482;Número;
1987;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1987;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26130;Número;
1987;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26204;Número;
1988;Total nacimientos de residentes;Otros;;;51521;Número;
1988;Nacimientos de hombres residentes;Otros;;;26527;Número;
1988;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;25597;Número;
1988;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;27115;Número;
1988;Total esposos de matrimonios de distinto sexo residentes;Otros;;;26533;Número;
1988;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;24901;Número;
1988;Total esposas de matrimonios de distinto sexo residentes;Otros;;;26478;Número;
1988;Nacimientos de mujeres residentes;Otros;;;24994;Número;
1988;Total defunciones de residentes;Otros;;;32768;Número;
1988;Defunciones de residentes hombres;Otros;;;17309;Número;
1988;Defunciones de residentes mujeres;Otros;;;15459;Número;
1988;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1988;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1988;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1989;Total nacimientos de residentes;Otros;;;50911;Número;
1989;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;26383;Número;
1989;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;28498;Número;
1989;Total esposos de matrimonios de distinto sexo residentes;Otros;;;27516;Número;
1989;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;25789;Número;
1989;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27334;Número;
1989;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1989;Nacimientos de mujeres residentes;Otros;;;24606;Número;
1989;Total defunciones de residentes;Otros;;;33176;Número;
1989;Defunciones de residentes hombres;Otros;;;17607;Número;
1989;Defunciones de residentes mujeres;Otros;;;15569;Número;
1989;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1989;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1989;Nacimientos de hombres residentes;Otros;;;26305;Número;
1990;Defunciones de residentes hombres;Otros;;;18481;Número;
1990;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26241;Número;
1990;Total esposas de matrimonios de distinto sexo residentes;Otros;;;27971;Número;
1990;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28156;Número;
1990;Nacimientos de hombres residentes;Otros;;;25827;Número;
1990;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1990;Total defunciones de residentes;Otros;;;34903;Número;
1990;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;26852;Número;
1990;Defunciones de residentes mujeres;Otros;;;16422;Número;
1990;Nacimientos de mujeres residentes;Otros;;;24108;Número;
1990;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29191;Número;
1990;Total nacimientos de residentes;Otros;;;49935;Número;
1991;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;26544;Número;
1991;Total esposos de matrimonios de distinto sexo residentes;Otros;;;28598;Número;
1991;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29529;Número;
1991;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27234;Número;
1991;Total nacimientos de residentes;Otros;;;49293;Número;
1991;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
1991;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
